experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
96,2.0,28.57,68.57,40.57,36.715126037597656,1
166,3.0,42.86,100.0,60.0,41.62906265258789,1
312,7.0,53.85,100.0,67.69,49.39725875854492,1
0,1.0,20.0,0.0,14.0,30.618572235107425,0
47,8.0,40.0,33.57,38.07,44.57701873779297,1
198,12.0,60.0,100.0,72.0,31.238779067993164,1
65,15.0,65.22,46.43,59.58,26.89504051208496,1
72,10.0,38.46,51.43,42.35,52.733177185058594,1
0,11.0,50.0,0.0,35.0,52.63520050048828,0
48,1.0,14.29,34.29,20.29,21.4119815826416,1
12,1.0,11.11,8.57,10.35,49.248634338378906,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
0,2.0,10.0,0.0,7.0,30.619346618652344,0
18,4.0,28.57,12.86,23.86,32.314083099365234,1
0,1.0,12.5,0.0,8.75,51.01959609985352,0
195,6.0,42.86,100.0,60.0,33.96768951416016,1
253,9.0,42.86,100.0,60.0,32.43128204345703,1
12,13.0,33.33,8.57,25.9,38.795806884765625,1
251,6.0,27.27,100.0,49.09,44.8046989440918,1
145,6.0,15.38,100.0,40.77,47.19845199584961,1
0,2.0,15.38,0.0,10.77,57.105098724365234,0
284,12.0,31.58,100.0,52.11,43.57735061645508,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
65,4.0,50.0,46.43,48.93,47.74720764160156,1
120,4.0,19.05,85.71,39.05,44.10457611083984,1
18,6.0,23.08,12.86,20.01,54.14874649047852,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
126,8.0,38.1,90.0,53.67,35.201053619384766,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
65,4.0,50.0,46.43,48.93,47.74720764160156,1
139,9.0,45.0,99.29,61.29,41.24699020385742,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
245,10.0,45.45,100.0,61.82,54.07373428344727,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
49,12.0,52.17,35.0,47.02,41.24518203735352,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
251,6.0,27.27,100.0,49.09,44.8046989440918,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
413,7.0,63.64,100.0,74.55,22.265199661254883,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
